taxid	names	taxids
1014	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae|Weeksella|Weeksella virosa	2|976|117743|200644|2762318|1013|1014
1015	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae|Bergeyella|Bergeyella zoohelcum	2|976|117743|200644|2762318|59735|1015
101513	Bacteria|Mycoplasmatota|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma|Candidatus Phytoplasma australasiaticum	2|544448|31969|186329|2146|33926|2754999
101564	Bacteria|Pseudomonadota|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Ectopseudomonas|Ectopseudomonas alcaliphila	2|1224|1236|72274|135621|3236654|101564
101571	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia ubonensis	2|1224|28216|80840|119060|32008|101571
1016997	Bacteria|Bacillota|Bacilli|Caryophanales|Thermoactinomycetaceae|Polycladomyces|Polycladomyces subterraneus	2|1239|91061|1385|186824|1348505|1016997
1017177	Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Gluconacetobacter|Gluconacetobacter tumulicola	2|1224|28211|3120395|433|89583|1017177
1017181	Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Gluconacetobacter|Gluconacetobacter asukensis	2|1224|28211|3120395|433|89583|1017181
1017184	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Chelatococcaceae|Camelimonas|Camelimonas abortus	2|1224|28211|356|2036754|1017183|1017184
1017270	Bacteria|Bacillota|Bacilli|Caryophanales|Fictibacillaceae|Fictibacillus|Fictibacillus enclensis	2|1239|91061|1385|3120697|1329200|1017270
1017273	Bacteria|Bacillota|Bacilli|Caryophanales|Bacillaceae|Domibacillus|Domibacillus enclensis	2|1239|91061|1385|186817|1433999|1017273
1017351	Archaea|Methanobacteriota|Halobacteria|Halobacteriales|Haloferacaceae|Halobaculum|Halobaculum magnesiiphilum	2157|28890|183963|2235|1644056|43927|1017351
1018	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga ochracea	2|976|117743|200644|49546|1016|1018
1019	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga sputigena	2|976|117743|200644|49546|1016|1019
